Company,Category,City,State,Country,"OUTSIDE 
USA",Website,LinkedIn,Crunchbase,Employees,"Year 
Founded",AKA/DBA,Name Variants,Acquired By,Original Categories,Source Sheets,# Sheets,Notes,REVIEW,Description,city_clean,state_clean,description,confidence,needs_review,scrape_status
Park Aerospace Corp.,Aerospace & Space,Westbury,NY,USA,,https://parkaerospace.com/,https://www.linkedin.com/company/park-aerospace-corp/,https://www.crunchbase.com/organization/park-aerospace-corp,146,1954,,Park Aerospace,,"Aerospace, Air Transportation, Manufacturing, Space Travel | Composites, metal assemblies",MOrgan Stanley Space 60 LIST  | SPACE & DEFENSE COMPANIES | Sheet1,3,Inactive website.,,,Westbury,NY,,low,True,ok
Parsons Corporation,Industrial & Factory Infrastructure,Chantilly,VA,USA,,http://www.parsons.com/,https://www.linkedin.com/company/parsons/,https://www.crunchbase.com/organization/parsons-corporation,,1644,,,,"Building Material, Construction, Consulting, Cyber Security, Industrial Engineering, Information Technology, Infrastructure, Military, Security",SPACE & DEFENSE COMPANIES,1,,"Multi-category signal: Communications, Compute & Networking; Maritime, Construction & Heavy Industry; Defense",,Chantilly,VA,,low,True,ok
Parrot,Defense,Paris,,France,yes,https://www.parrot.com/en,https://www.linkedin.com/company/parrot/,https://www.crunchbase.com/organization/parrot,1298,1994,Parrot Drones SAS,,,"Makes professional-grade drones for mapping, 3D modeling, and defense applications. | Leading European group in the drones industry. Various aerial solutions for commercial and professional applications which offer various ROS connectors and integrations (e.g. see slamdunk_ros)115.",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | Robotics,3,,,,Paris,,,low,True,ok
PAS Technologies,Aerospace & Space,,,USA,,www.pas-technologies.com,http://www.linkedin.com/company/pas-technologies,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,blocked_or_timeout
Parsons Precision Products,Aerospace & Space,,,USA,,www.parsonsprecision.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,ok
Parsable,Industrial & Factory Infrastructure,San Francisco,CA,USA,,https://www.parsable.com,https://www.linkedin.com/company/parsable/,https://www.crunchbase.com/organization/parsable,53,,Wearable Intelligence,,CAI Software,Provides connected worker software that digitizes and optimizes frontline industrial operations.,ALL COMPANIES MERGED ,1,,"Multi-category signal: Communications, Compute & Networking",,San Francisco,CA,,low,True,ok
Path Robotics,Robotics & Autonomy,Columbus,OH,USA,,https://www.path-robotics.com/,https://www.linkedin.com/company/path-robotics/,https://www.crunchbase.com/organization/path-robotics,160,2014,,,,"Robotics | Modern Robotics (Humanoid/Mobile) | Develops AI-guided autonomous welding robots that handle complex, unstructured parts. | Develop fully autonomous and intelligent robotic welding cells. ROS drivers for Path Robotics (see path-robotics).",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,4,,,,Columbus,OH,,low,True,ok
Patlytics,Aerospace & Space,San Francisco,CA,USA,,https://www.patlytics.ai/,https://www.linkedin.com/company/patlytics,https://www.crunchbase.com/organization/patlytics,,2024,,,,AI,SPACE & DEFENSE COMPANIES | Sheet1,2,,Classified by source sheet only — verify,,San Francisco,CA,,low,True,ok
Patria,Defense,Helsinki,,Finland,yes,https://www.patriagroup.com/,https://www.linkedin.com/company/patria/,https://www.crunchbase.com/,,1997,,,,"Aerospace, National Security, Security, Service Industry",SPACE & DEFENSE COMPANIES | Sheet1,2,,Multi-category signal: Aerospace & Space,,Helsinki,,,low,True,ok
Pave Robotics,Robotics & Autonomy,San Jose,CA,USA,,https://pave-robotics.com/,https://www.linkedin.com/company/pave-robotics/,https://www.crunchbase.com/organization/pave-robotics,5,2024,,,,"Pave Robotics builds robots that repair roads. Their first product, 'Tracer', seals cracks in asphalt faster, cheaper, and more efficiently than traditional crews. | Robotics",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,,"Develops autonomous robots that detect, map, and seal pavement cracks for automated road maintenance.",San Jose,CA,,low,True,ok
PAXV,"Communications, Compute & Networking",Big Fork,MT,USA,,http://www.paxv.us/,https://www.linkedin.com/company/paxv/,,,2017,,,,Computer and Network Security,SPACE & DEFENSE COMPANIES | Sheet1,2,,,,Big Fork,MT,,low,True,ok
Peer Robotics,Robotics & Autonomy,New Haven,CT,USA,,https://www.peerrobotics.ai/,https://www.linkedin.com/company/peer-robotics/,https://www.crunchbase.com/organization/peer-robotics,24,2019,,,,Collaborative mobile robotics company building material handling solutions for manufacturing industries. Robots designed to work with humans and built with ROS at its core.,MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,Multi-category signal: Advanced Manufacturing,,New Haven,CT,,low,True,ok
Pegasus Intelligence,Defense,Yas Island,,United Arab Emirates,yes,https://www.pegasusintelligence.com/,https://www.linkedin.com/company/pegasus-intelligence-ltd/,https://www.crunchbase.com/organization/pegasus-intelligence,,2008,,,,"Unmanned Ground Vehicles - Combat; Intelligence, Surveillance, & Reconnaissance; Transport",SPACE & DEFENSE COMPANIES | Sheet1,2,,,,Yas Island,,,low,True,ok
Pebble,Transportation & Mobility,Sunnyvale,CA,USA,,https://pebblelife.com/,https://www.linkedin.com/company/pebblelife/,https://www.crunchbase.com/organization/pebble-1ae2,99,,Pebble Mobility,,,EV,ALL COMPANIES MERGED ,1,,,,Sunnyvale,CA,,low,True,ok
Peloton,Industrial & Factory Infrastructure,New York,NY,USA,,https://www.onepeloton.com,https://www.linkedin.com/search/results/companies/?keywords=Peloton,https://www.crunchbase.com/organization/peloton-interactive,2984,,,,,"Makes connected fitness equipment including interactive bikes, treadmills, and workout content.",ALL COMPANIES MERGED ,1,,,,New York,NY,,low,True,ok
Penguin Solutions,,Milpitas,CA,USA,,https://www.penguinsolutions.com/en-us,https://www.linkedin.com/company/penguinsolutions/,https://www.crunchbase.com/organization/penguin-solutions,1893,,Saleen Holdings,,,,ALL COMPANIES MERGED ,1,,No category match — needs manual review,,Milpitas,CA,,low,True,ok
Pennfield Precision Solutions,Aerospace & Space,,,USA,,www.pennfieldinc.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,blocked_or_timeout
Penumbra,,Alameda,CA,USA,,http://www.penumbrainc.com/,http://www.linkedin.com/company/penumbra-inc,https://www.crunchbase.com/organization/penumbra,3068,,Boston Scientific,,Boston Scientific,,ALL COMPANIES MERGED ,1,,No category match — needs manual review,,Alameda,CA,,low,True,ok
Peppermint Robotics,Robotics & Autonomy,Pune,MH,India,yes,https://www.peppermintrobotics.com/north-america,https://www.linkedin.com/company/peppermintrobotics/,https://www.crunchbase.com/organization/peppermint-652a,101,2019,Aubotz Labs Pvt Ltd.,,,Makes AI-powered robotic floor cleaners for large commercial facilities. | Peppermint is a robotics startup that automates labor-intensive tasks in commercial and industrial environments. | Robotics,ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,4,,Multi-category signal: Industrial & Factory Infrastructure,,Pune,MH,,low,True,ok
PerceptIn,Robotics & Autonomy,Santa Clara,CA,USA,,https://www.perceptin.io/,https://www.linkedin.com/company/perceptin/,https://www.crunchbase.com/organization/perceptin,11,2016,Trifo,,,"Provide the all-in-one perception, insight, and intelligence solutions for robots and autonomous driving. This package lets you use the Ironsides visual inertial computing module with ROS. (see IRONSIDES).",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,,,Santa Clara,CA,,low,True,blocked_or_timeout
PeopleTec,Aerospace & Space,,,USA,,peopletec.com,http://www.linkedin.com/company/peopletec,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,ok
Percepto,Robotics & Autonomy,Austin,TX,Israel,yes,https://percepto.co/,https://www.linkedin.com/company/perceptoautonomousdrones/,https://www.crunchbase.com/organization/percepto,183,,Vision Cortex,,,Drone / Aerial Autonomy,ALL COMPANIES MERGED ,1,,,,Austin,TX,,low,True,ok
Paterson Aerospace Systems,Aerospace & Space,Wilmington,DE,USA,,https://www.patersonaerospace.com/,https://www.linkedin.com/company/patersonaerospace/,https://www.crunchbase.com/organization/paterson-aerospace-systems,,2019,,,,Defense & Space,SPACE & DEFENSE COMPANIES | Sheet1,2,,Multi-category signal: Defense,,Wilmington,DE,,low,True,ok
Periodic Labs,"Materials, Chemicals & Mining",San Francisco,CA,USA,,https://periodic.com/,https://www.linkedin.com/company/periodic-labs/,https://www.crunchbase.com/organization/periodic-labs,48,2025,,,,DEFENSE | Advanced Bulk Materials | AI Systems & Autonomous Laboratories,JP MOrgan Space List,1,,Multi-category signal: Defense; Robotics & Autonomy,,San Francisco,CA,,low,True,ok
Performance Drone Works,Defense,Huntsville,AL,USA,,https://www.pdw.ai/,https://www.linkedin.com/company/pdw-ai/,https://www.crunchbase.com/organization/performance-drone-works,354,2019,Performance Drone Works,PDW | Performance Drone Works (PDW),,"New Defense & Primes | Aircraft (Military Drones) | DEFENSE | Aerial Drones | sUAS/Group 1 | Unmanned Aerial Vehicles- Intelligence, Surveillance, & Reconnaissance",ALL COMPANIES MERGED  | DEFENSE COMPANIES | SPACE & DEFENSE COMPANIES | Sheet1,4,,,,Huntsville,AL,,low,True,ok
Persefoni,Energy & Climate,Mesa,AZ,USA,,https://www.persefoni.com/,https://www.linkedin.com/company/persefoni/,https://www.crunchbase.com/organization/persefoni,125,,,,,"Climate | Analytics, Artificial Intelligence (AI), CleanTech, GreenTech, SaaS",MASTER - Combined_Account Owner | Source -MARKET MAP COMPANIES,2,,,,Mesa,AZ,,low,True,ok
Permaswage,Aerospace & Space,,,USA,,www.permaswage.com,http://www.linkedin.com/company/1233285,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,ok
Percipio Robotics,Robotics & Autonomy,Besançon,,France,yes,https://percipio-robotics.com/,https://www.linkedin.com/company/percipio-robotics/,https://www.crunchbase.com/organization/percipio-robotics,36,2011,,,,"Develop micro-gripper and micro-assembly robotics solutions. It offers precision robotic micromanipulation, micromechanics, dimensional measurement, chronograph, interfaces, robotic control, and platform solutions. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.",MASTER - Combined_Account Owner | Robotics,2,,Multi-category signal: Industrial & Factory Infrastructure,,Besançon,,,low,True,ok
Perseus Defense,Defense,San Francisco,CA,USA,,https://perseusdefense.ai/,https://www.linkedin.com/company/perseusdefense/,https://www.crunchbase.com/organization/perseus-defense,7,2025,,,,DEFENSE | Counter Drone | Missile,DEFENSE COMPANIES,1,,,,San Francisco,CA,,low,True,ok
Personalis,,Fremont,CA,USA,,https://www.personalis.com/,https://www.linkedin.com/company/personalis-inc/,https://www.crunchbase.com/organization/personalis,393,,,,,,ALL COMPANIES MERGED ,1,,No category match — needs manual review,,Fremont,CA,,low,True,ok
Petpooja,"Communications, Compute & Networking",Ahmedabad,GJ,USA,,https://www.petpooja.com/,https://www.linkedin.com/company/petpooja-prayosha-food-service-pvt-ltd-/,https://www.crunchbase.com/organization/petpooja,1372,2011,,,,"Provides restaurant management software and POS systems for food service businesses. | Provide restaurant management software, including billing, inventory management, online ordering and all other front and back-of-house management modules that any restaurant requires. Hiring engineers with experience in ROS (ROS Developer).",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,4,,,,Ahmedabad,GJ,,low,True,ok
Phantom AI,"Communications, Compute & Networking",Mountain View,CA,USA,,https://phantom.ai/,https://www.linkedin.com/company/phantom-ai/,https://www.crunchbase.com/organization/phantom-ai,62,2016,,,,"AI | Artificial Intelligence (AI),Automotive,Machine Learning, Software | Provide a comprehensive autonomous driving platform featuring computer vision, sensor fusion and control capabilities. Hiring engineers with experience in ROS (Software Developer (C++) for Testing Perception Software).",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics | SPACE & DEFENSE COMPANIES | Sheet1,5,,Multi-category signal: Robotics & Autonomy; Energy & Climate; Electronics,,Mountain View,CA,,low,True,ok
Phantom Auto,Robotics & Autonomy,South San Francisco,CA,USA,,https://phantomauto.com,https://www.linkedin.com/company/phantomauto,https://www.crunchbase.com/organization/phantom-auto,40,,Phantom,,,"Electromechanical Systems, Robotics, and Industrial | Autonomy Platform / Tooling",ALL COMPANIES MERGED ,1,,Multi-category signal: Industrial & Factory Infrastructure,,South San Francisco,CA,,low,True,ok
Phase Four,Aerospace & Space,Hawthorne,CA,USA,,http://www.phasefour.io/,https://www.linkedin.com/company/phase-four/,https://www.crunchbase.com/organization/phase-four,27,2015,,,,"Aerospace, Innovation Management, Space Travel | Space Hardware-Propulsion",ALL COMPANIES MERGED  | Aerospace & Defense ($10M+ reve | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1 | Source - SoCal Hard Tech | Source -MARKET MAP COMPANIES,7,"Todd: fmr Safire clients, they are out of business now, I know Founder Simon Halpern",,,Hawthorne,CA,,low,True,blocked_or_timeout
Phantom Space,Aerospace & Space,Tucson,AZ,USA,,http://www.phantomspace.com/,https://www.linkedin.com/company/phantom-space/,https://www.crunchbase.com/organization/phantom-space-corporation,34,2019,"Phantom, Phantom Space Corp",,,"Aerospace | Aerospace (New) | Aerospace - Space Systems | Aerospace, Space Travel, Transportation | Aerospace, Space Travel,Transportation | General Aerospace / Space Technology | Launch Vehicles | Launchers | Orbital / Small-Med Launch | Providing satellite manufacturing, launch and in-space propulsion systems.",ALL COMPANIES MERGED | LAUNCH COMPANIES | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1 | Source -MARKET MAP COMPANIES,6,Inactive website.,,,Tucson,AZ,,low,True,ok
PHION Technologies,"Communications, Compute & Networking",Oakland,CA,USA,,https://phiontech.com/,https://www.linkedin.com/company/phion-technologies/,https://www.crunchbase.com/organization/phion-technologies,6,2017,,,,"Other | Consumer Applications, Consumer Electronics, Electrical Distribution, Infrastructure, Internet of Things,Property Management",MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES,2,,Multi-category signal: Electronics,,Oakland,CA,,low,True,ok
Phase One,Aerospace & Space,Copenhagen,,Denmark,yes,https://www.phaseone.com/,https://www.linkedin.com/company/phase-one/,https://www.crunchbase.com/organization/phase-one,,1993,Phase One A/S,,Axcel,"Aerospace | Geospatial, Hardware, Software",SPACE & DEFENSE COMPANIES | Sheet1,2,,"Multi-category signal: Communications, Compute & Networking; Electronics",,Copenhagen,,,low,True,ok
Phlux Technologies,Electronics,Pittsburgh,PA,USA,,https://www.phlux.io/,https://www.linkedin.com/company/phlux/,https://www.crunchbase.com/organization/phlux-technologies,,2020,,,,CMOS-based 3D Sensors,SPACE & DEFENSE COMPANIES | Sheet1,2,,,,Pittsburgh,PA,,low,True,ok
Phoenix Contact,Industrial & Factory Infrastructure,Blomberg,,Germany,yes,https://www.phoenixcontact.com/,https://www.linkedin.com/company/phoenix-contact/,https://www.crunchbase.com/organization/phoenix-contact-334d,8919,1923,Phoenix Contact Deutschland GmbH,,,"Manufactures electrical connectors, automation technology, and industrial networking components. | Provide electrical engineering and automation solutions. It offers a wide range of products including electrical components, automation systems, and software solutions for industrial and building automation. ROS used for industrial use cases. Participation in ROS-Industrial Conference 2022.",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | Robotics,3,,"Multi-category signal: Communications, Compute & Networking",,Blomberg,,,low,True,blocked_or_timeout
Phoenix Integration,Aerospace & Space,,,USA,,www.phoenix-int.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,blocked_or_timeout
PhoenixEV,Transportation & Mobility,Anaheim,CA,USA,,https://phoenixev.ai/,https://www.linkedin.com/company/phoenixev/,https://www.crunchbase.com/organization/phoenix-motor-inc,88,,,,,EV,ALL COMPANIES MERGED ,1,,,,Anaheim,CA,,low,True,ok
Phonon,Aerospace & Space,,,USA,,www.phonon.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,blocked_or_timeout
Photo Etch,Semiconductors,,,USA,,www.photo-etch.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,,,,,low,True,blocked_or_timeout
Photoneo,Industrial & Factory Infrastructure,Bratislava,,Slovakia,yes,https://www.photoneo.com/,https://www.linkedin.com/company/photoneo/,https://www.crunchbase.com/organization/photoneo-f2f3,132,2013,,,Zebra Technologies,"Makes structured-light 3D vision systems and bin-picking software for industrial automation. | Provide robotic vision and intelligence. Based on a patented 3D technology, Photoneo develop highest-resolution and highest-accuracy 3D camera (Phoxi). ROS Package for PhoXi Scanner/Camera. (see phoxi_camera).",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | Robotics,3,,"Multi-category signal: Robotics & Autonomy; Advanced Manufacturing; Communications, Compute & Networking",,Bratislava,,,low,True,ok
Photonis Defense,Defense,,,USA,,www.photonisdefense.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,,,,,low,True,ok
Persistent Systems,Electronics,New York,NY,USA,,https://www.persistentsystems.com/,https://www.linkedin.com/company/persistent-systems-llc/,,387,2007,,,,Electronic Warfare & Signals | Tactical networking hardware,Defense Targets | MASTER | MASTER - Combined_Account Owner,3,,"Multi-category signal: Defense; Communications, Compute & Networking",,New York,NY,,low,True,ok
Physical Optics,Aerospace & Space,,,USA,,,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,no_url
Phoenix Defense,Defense,,,USA,,www.phx-defense.com,http://www.linkedin.com/company/phoenix-logistics-inc-,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,,,,,low,True,ok
Physical Intelligence,Robotics & Autonomy,San Francisco,CA,USA,,https://physicalintelligence.company,https://www.linkedin.com/company/physical-intelligence/,https://www.crunchbase.com/organization/physical-intelligence-834b,896,2024,,PI (Physik Instrumente) | Physical Intelligence (Pi),,"Modern Robotics (Humanoid/Mobile) | Robotics / AI | AI-Powered Warfare Solutions | Real-world AI, robotics | Provide hardware and software interfaces for the application environment. Develop and produce robots with combinations of different axes. Hexapods provide motion in six degrees of freedom. ROS driver for PI-Hexapods (see PI_ROS_Driver).",ALL COMPANIES MERGED  | Defense Targets | MASTER | MASTER - Combined_Account Owner | Robotics | SPACE & DEFENSE COMPANIES | Sheet1,7,,Multi-category signal: Defense,,San Francisco,CA,,low,True,ok
Piaggio Fast Forward,Robotics & Autonomy,Boston,MA,USA,,https://piaggiofastforward.com/,https://www.linkedin.com/company/piaggiofastforward/,https://www.crunchbase.com/organization/piaggio-fast-forward,70,2015,,,,"Build semi-autonomous self driving mobility platforms 116. ROS driver for the Roboclaw117 motor controllers (see roboclaw_ros). | personal, mobile (outdoor)",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,Multi-category signal: Transportation & Mobility,,Boston,MA,,low,True,ok
Piasecki Aircraft Corporation,Defense,Essington,PA,USA,,https://piasecki.com/,https://www.linkedin.com/company/piasecki-aircraft-corporation/,https://www.crunchbase.com/organization/piasecki-aircraft,,1955,PiAC,,,Unmanned Aerial Vehicles- Transport,SPACE & DEFENSE COMPANIES | Sheet1,2,,Multi-category signal: Aerospace & Space,,Essington,PA,,low,True,ok
Pickit 3D,Robotics & Autonomy,Heverlee,,Belgium,yes,https://www.pickit3d.com/en/,https://www.linkedin.com/company/pickit3d/,https://www.crunchbase.com/organization/pick-it,30,2016,,,,Provide 3D vision systems for robot guidance applications. Hiring engineers with experience in ROS (Senior computer vision engineer).,MASTER - Combined_Account Owner | Robotics,2,,"Multi-category signal: Communications, Compute & Networking",,Heverlee,,,low,True,ok
Pickle Robot,Industrial & Factory Infrastructure,Cambridge,MA,USA,,https://www.picklerobot.com,https://www.linkedin.com/company/pickle-robot-company/,https://www.crunchbase.com/organization/pickle-robots,129,,,,,Warehouse / Industrial,ALL COMPANIES MERGED ,1,,,,Cambridge,MA,,low,True,ok
PickNik Robotics,Robotics & Autonomy,Boulder,CO,USA,,https://picknik.ai,https://www.linkedin.com/company/picknik/,https://www.crunchbase.com/organization/picknik-robotics,30,2015,,,,"Develops robotic arm motion planning software and MoveIt-based solutions. | Create, integrate, patch, or provide training for robotic applications. Particulary in ROS (see PickNikRobotics), using a open robotics software platform to help companies to reduce risks, development time and costsassociated with robotic applications.",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,4,,"Multi-category signal: Communications, Compute & Networking",,Boulder,CO,,low,True,ok
Picnic Robotics,Robotics & Autonomy,Seattle,WA,USA,,https://picnicworks.com/,https://www.linkedin.com/company/picnicworks/,https://www.crunchbase.com/organization/picnic-vivid-robotics,48,,Vivid Robotics,,,"Electromechanical Systems, Robotics, and Industrial | Advanced Robotics",ALL COMPANIES MERGED ,1,,Multi-category signal: Industrial & Factory Infrastructure,,Seattle,WA,,low,True,ok
PICO,Industrial & Factory Infrastructure,San Francisco,CA,USA,,https://www.picomes.com/tryforfree,https://www.linkedin.com/company/picomes/,https://www.crunchbase.com/organization/pico-mes,36,2017,Radiant Nuclear,,,"Other | Industrial Automation, Information Technology, Manufacturing, Software, Supply Chain Management",MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1,3,,"Multi-category signal: Communications, Compute & Networking; Advanced Manufacturing",,San Francisco,CA,,low,True,ok
Picogrid,Defense,El Segundo,CA,USA,,https://picogrid.com/,https://www.linkedin.com/company/picogrid/,https://www.crunchbase.com/organization/picogrid,35,2020,,,,"DEFENSE | Secure Communication | Defense Systems Integration Platform | Communication | Sensor Fusion | Artificial Intelligence (AI), Government, Industrial, Military",DEFENSE COMPANIES | JP MOrgan Space List | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1 | Source - SoCal Hard Tech,6,,"Multi-category signal: Industrial & Factory Infrastructure; Communications, Compute & Networking",,El Segundo,CA,,low,True,ok
PI (Physik Instrumente),Semiconductors,Karlsruhe,,Germany,yes,https://www.physikinstrumente.com/en/,https://www.linkedin.com/company/physik-instrumente-group/,https://www.crunchbase.com/organization/physik-instrumente,906,,,,,Makes precision motion control systems and piezo technology for semiconductor and photonics.,ALL COMPANIES MERGED ,1,,,,Karlsruhe,,,low,True,ok
Pilatus Aircraft,Aerospace & Space,Stans,,Switzerland,yes,http://www.pilatus-aircraft.com/,https://www.linkedin.com/company/pilatusaircraft,https://www.crunchbase.com/organization/pilatus-business-aircraft-ltd,2044,,Pilatus Business Aircraft Ltd,,,Aircraft (Commercial / Military),ALL COMPANIES MERGED ,1,,Multi-category signal: Defense,,Stans,,,low,True,blocked_or_timeout
Pilgrim,Medical Devices,Redwood City,CA,USA,,www.pilgrimlabs.com,https://www.linkedin.com/company/pilgrimlabs/,https://www.crunchbase.com/organization/pilgrim-3433,5,2023,,,,DEFENSE | Biotech,DEFENSE COMPANIES,1,,Multi-category signal: Defense,,Redwood City,CA,,low,True,blocked_or_timeout
pilohealth,Medical Devices,Boston,MA,USA,,https://pillohealth.ermit.it/,https://www.linkedin.com/company/pillohealth/,https://www.crunchbase.com/organization/pillo-health,,2015,,,Stanley Black & Decker,Pillo Health is a healthcare solutions provider that empowers organizations to deliver better care into the home. | pharmacy,MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,,,Boston,MA,,low,True,ok
PiLogic Inc.,Aerospace & Space,Los Angeles,CA,USA,,https://www.pilogic.ai/,https://www.linkedin.com/company/pilogic-inc/,https://www.crunchbase.com/organization/pilogic,6,,,,,"Software-In Space | Aerospace, Analytics, Artificial Intelligence (AI)",MASTER - Combined_Account Owner | Source -MARKET MAP COMPANIES,2,,"Multi-category signal: Communications, Compute & Networking",,Los Angeles,CA,,low,True,ok
Pioneer Circuits,Aerospace & Space,,,USA,,pioneercircuits.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,ok
Picterra,"Communications, Compute & Networking",Lausanne,,Switzerland,yes,https://picterra.ai/,https://www.linkedin.com/company/picterra/,https://www.crunchbase.com/organization/picterra,29,,,,,"Satellite Data | Aerospace, Artificial Intelligence (AI), Computer Vision, Drones, Geospatial, Information Technology, Machine Learning, SaaS, Software",MASTER - Combined_Account Owner | Source -MARKET MAP COMPANIES,2,,Multi-category signal: Robotics & Autonomy; Aerospace & Space,,Lausanne,,,low,True,ok
Pipistrel Aircraft,Aerospace & Space,Ajdovscina,,Slovenia,yes,https://www.pipistrel-aircraft.com/,https://www.linkedin.com/company/pipistrelaircraft/,https://www.crunchbase.com/organization/pipistrel,286,1987,PIPISTREL D.O.O.,,Textron,"Aerospace, Air Transportation, Transportation | Aircraft (Regional / Business)",ALL COMPANIES MERGED | SPACE & DEFENSE COMPANIES | Sheet1,3,,,,Ajdovscina,,,low,True,ok
Pilz,Robotics & Autonomy,Canton,MI,USA,,https://www.pilz.com/en-US,https://www.linkedin.com/company/pilz-automation-safety-lp/,https://www.crunchbase.com/organization/pilz-gmbh-co-kg,74,1948,,,,"Develop and sell products, systems and services for safe automation including sensors118, safety relays119, control120 systems and drives121. The pilz_robots packages provide ROS (see PilzDE) support for controlling the Pilz manipulator module PRBT (see pilz_robots) and include robot description and launch files.",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,Multi-category signal: Aerospace & Space; Electronics,,Canton,MI,,low,True,ok
Pivotal,Aerospace & Space,Palo Alto,CA,USA,,https://pivotal.aero/,https://www.linkedin.com/company/pivotalaero/,https://www.crunchbase.com/organization/opener-e6a3,150,,"pivotal.aero, Formerly known as Opener, Opener, LLC, Opener.aero",,Vmware,Aerospace - Aviation | eVTOL / Drones | Aviation (New) | New Airframes | New OEM / New Programs | General Aviation OEMs | Aerospace | Develops electric commuter aircraft for zero-emission personal air travel.,ALL COMPANIES MERGED  | MASTER - Combined_Account Owner,2,,Multi-category signal: Transportation & Mobility,,Palo Alto,CA,,low,True,ok
PIX Moving,Robotics & Autonomy,San Francisco,CA,USA,,https://www.pixmoving.com/,https://www.linkedin.com/company/pixmoving/,https://www.crunchbase.com/organization/pixmoving,43,2017,Pix City,,,"Offers one-stop solution with self-driving software and hardware stack, from drive-by-wire chassis, batch customization manufacturing of vehicles to self-driving software integration. ROS Drivers for PIX Moving robots122 (see pixmoving-moveit).",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,"Multi-category signal: Communications, Compute & Networking; Advanced Manufacturing; Electronics",,San Francisco,CA,,low,True,ok
Pison Technology,Robotics & Autonomy,Boston,MA,USA,,https://pison.com/,https://www.linkedin.com/company/pison-technology-inc/,https://www.crunchbase.com/organization/pison,85,2016,Pison,,,Exoskeleton robots for physical rehabilitation,MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,,,Boston,MA,,low,True,ok
Pixelink,Medical Devices,Ottawa,ON,Canada,yes,https://www.navitar.com/,https://www.linkedin.com/company/pixelink/,https://www.crunchbase.com/organization/pixelink-corp,21,1992,,,,"Pixelink is a trusted supplier to OEMs around the world offering cutting-edge camera customization and solutions for robotics, medical and life science instruments, research and industrial equipment. Their official ROS 2 package can be used to incorperate their cameras into ROS2 application (see pixelink_ros2).",MASTER - Combined_Account Owner | Robotics,2,,Multi-category signal: Industrial & Factory Infrastructure; Robotics & Autonomy,,Ottawa,ON,,low,True,ok
